Age,Seniority,Orders,Items,AverageDiscount,TopCategory,BrowsingTime,EmailsOpened,SupportInteractions,TotalCart
36,1,1,4,0.4,"Health, Household & Baby Care",139.73757591475504,0,3,33.77
28,1,2,2,0.24,"Clothing,Shoes & Jewelry",54.184116529702194,0,1,17.1
27,0,3,3,0.07,Beauty & Personal Care,961.5714848180643,0,0,157.17
26,2,1,6,0.53,"Health, Household & Baby Care",58.90238630947769,0,0,13.38
38,0,2,2,0.34,Electronics,40.33253003399776,1,2,23.46
27,1,1,5,0.46,Toys & Games,9.117066061037647,3,1,8.07
24,0,1,5,0.56,"Clothing,Shoes & Jewelry",66.34336755172988,0,1,13.17
32,0,1,3,0.11,Beauty & Personal Care,307.43753742338254,2,0,57.69
33,2,1,1,0.14,"Clothing,Shoes & Jewelry",209.92025698840146,0,0,40.77
24,2,1,4,0.82,Home & Kitchen,153.72847596385748,0,2,26.33
28,4,1,0,0.07,"Clothing,Shoes & Jewelry",11.425529039044331,2,0,7.55
28,1,2,5,0.11,"Health, Household & Baby Care",47.04532185646364,0,0,16.52
27,0,2,2,0.26,Beauty & Personal Care,99.27685491695107,0,1,24.9
28,1,3,6,0.12,"Clothing,Shoes & Jewelry",202.65903122850992,1,3,43.21
23,4,0,4,0.41,"Health, Household & Baby Care",300.244695996496,1,2,0.0
28,2,1,3,0.45,"Clothing,Shoes & Jewelry",16.19036950142989,0,0,7.9
29,1,4,6,0.54,Home & Kitchen,485.38465905213377,0,0,88.95
36,2,3,7,0.7,Sports & outdoors,19.335096437644836,0,1,21.0
22,3,1,3,0.33,Toys & Games,56.96610378217043,1,1,10.0
27,0,1,8,0.03,"Health, Household & Baby Care",29.39965485560815,2,1,11.54
24,2,2,0,0.03,"Clothing,Shoes & Jewelry",60.73886808781525,1,0,15.11
15,0,3,3,0.53,Toys & Games,22.78354641390801,0,1,6.01
24,1,4,4,0.22,Beauty & Personal Care,134.51059547408227,1,0,33.98
25,0,1,7,0.82,Toys & Games,41.669744020155164,1,2,10.92
28,1,0,3,0.52,"Health, Household & Baby Care",31.14299999289438,1,0,0.0
30,1,2,2,0.04,Sports & outdoors,88.84001372262578,1,0,24.65
27,0,1,4,0.58,Electronics,91.87071500902842,0,1,19.3
31,4,2,4,0.81,Toys & Games,22.40538064298105,1,0,13.99
17,0,2,5,0.22,Sports & outdoors,123.65340933813994,1,0,20.41
32,1,3,1,0.05,"Clothing,Shoes & Jewelry",158.44583781762276,0,1,38.78
30,0,5,6,0.77,"Health, Household & Baby Care",559.2209679178935,3,1,105.46
21,2,2,2,0.86,"Clothing,Shoes & Jewelry",51.99510473041195,1,0,11.33
31,0,1,2,0.03,Toys & Games,21.191666481076936,0,1,11.91
17,3,0,2,0.85,Sports & outdoors,245.6482577147053,1,2,0.0
24,0,1,2,0.12,Toys & Games,52.56171820183157,2,0,12.09
21,1,2,8,0.17,Electronics,10.020318536358763,3,0,6.61
22,0,4,3,0.02,Home & Kitchen,410.92292049071705,0,1,73.09
23,4,2,2,0.14,Beauty & Personal Care,102.57607229560085,0,0,21.09
30,0,2,8,0.83,"Clothing,Shoes & Jewelry",470.4780670852142,0,3,81.55
17,2,1,3,0.72,"Clothing,Shoes & Jewelry",56.64214409253436,3,0,6.99
24,1,3,7,0.35,"Clothing,Shoes & Jewelry",346.7119239393777,1,1,61.47
21,1,2,9,0.71,Sports & outdoors,164.29368581741224,1,1,29.27
24,1,2,7,0.17,"Clothing,Shoes & Jewelry",959.0141308997092,1,2,150.52
27,1,3,8,0.82,"Clothing,Shoes & Jewelry",188.41831059753028,2,1,40.3
27,0,2,4,0.27,Electronics,293.9559031822695,1,0,53.01
19,1,0,2,0.47,"Health, Household & Baby Care",9.26722884427807,4,1,-0.0
25,2,7,9,0.34,"Health, Household & Baby Care",31.627341487918876,1,0,27.09
27,3,2,5,0.63,Home & Kitchen,325.2371313963677,1,0,57.23
20,2,1,3,0.64,"Health, Household & Baby Care",601.5605629377438,0,2,90.5
31,0,2,6,0.18,"Clothing,Shoes & Jewelry",23.20441193772475,1,2,15.68
30,1,4,8,0.54,"Health, Household & Baby Care",296.8740193403454,1,0,61.86
18,0,1,3,0.61,Beauty & Personal Care,263.80736974891175,1,1,40.19
23,1,0,6,0.49,Toys & Games,33.284341165597006,4,1,0.0
23,2,2,3,0.01,Toys & Games,83.48544769343505,2,2,18.73
32,0,3,5,0.42,"Clothing,Shoes & Jewelry",95.1612338285384,0,2,29.68
31,1,2,6,0.68,Beauty & Personal Care,31.30466243410459,0,1,17.34
20,2,4,6,0.18,Beauty & Personal Care,152.87266042836492,0,1,33.18
29,1,0,4,0.63,Beauty & Personal Care,140.71113189578682,3,0,0.0
21,1,2,3,0.22,Beauty & Personal Care,249.95903604263168,2,2,43.78
28,0,1,6,0.51,"Clothing,Shoes & Jewelry",87.31205763618875,1,1,19.8
27,4,1,5,0.35,Toys & Games,274.06958296149026,0,1,45.59
29,0,3,4,0.64,Electronics,335.48676805901545,0,1,63.33
24,1,4,4,0.88,Beauty & Personal Care,30.727723182709575,1,1,18.37
26,1,1,4,0.89,"Health, Household & Baby Care",8.494929185820597,0,0,5.98
20,1,1,3,0.18,Home & Kitchen,180.15058759092392,1,1,28.07
21,0,2,4,0.04,Sports & outdoors,13.693231575254677,0,0,6.51
29,1,1,3,0.47,Toys & Games,45.73013652592906,1,0,13.97
30,0,3,2,0.02,"Clothing,Shoes & Jewelry",1.1614552489332501,1,1,14.46
26,0,3,5,0.75,Beauty & Personal Care,126.89956678492291,2,1,32.1
31,1,4,4,0.86,"Clothing,Shoes & Jewelry",31.81347181150519,2,0,22.59
20,2,2,4,0.2,Beauty & Personal Care,13.950350826300092,1,1,6.75
23,0,3,7,0.02,Beauty & Personal Care,268.5233957245552,1,0,50.74
27,1,8,2,0.5,"Clothing,Shoes & Jewelry",71.47009955555679,2,0,37.61
25,0,1,0,0.35,"Health, Household & Baby Care",127.48180381117304,0,0,23.48
29,0,1,4,0.13,"Health, Household & Baby Care",642.9978793533758,0,0,103.94
18,0,0,7,0.67,"Health, Household & Baby Care",5.26424129828536,0,0,-0.0
19,0,0,11,0.66,"Clothing,Shoes & Jewelry",30.506796168469844,3,1,0.0
26,1,4,1,0.05,Electronics,8.353330231956173,2,2,15.89
22,3,5,4,0.72,Electronics,287.0414692543375,0,1,55.89
27,0,0,8,0.28,Beauty & Personal Care,215.48027391699227,2,1,0.0
28,1,4,6,0.77,Beauty & Personal Care,76.27801137001359,2,0,28.56
28,1,1,8,0.36,Home & Kitchen,28.219454907551825,0,1,10.86
28,3,1,3,0.72,Toys & Games,77.33580573093057,0,2,17.14
16,2,2,9,0.03,Electronics,129.9703223328423,1,0,19.71
24,2,3,3,0.68,"Clothing,Shoes & Jewelry",79.82559032250963,1,0,20.83
31,2,3,4,0.16,"Clothing,Shoes & Jewelry",459.81976422226035,2,0,83.7
19,1,3,4,0.7,Home & Kitchen,0.990255913643267,0,0,5.71
30,0,0,4,0.72,Beauty & Personal Care,82.31918687091381,1,0,0.0
21,1,1,5,0.65,Electronics,390.3712829449964,2,3,60.47
31,0,2,7,0.66,Home & Kitchen,119.55767265779387,1,2,30.6
27,1,0,4,0.4,Beauty & Personal Care,111.95772416932822,0,1,0.0
25,0,2,3,0.38,Home & Kitchen,87.3921183622572,0,1,20.7
21,0,1,9,0.15,Toys & Games,182.85727469350792,1,1,29.18
20,1,1,4,0.77,Home & Kitchen,109.47530838672937,0,1,16.86
30,2,3,10,0.87,"Clothing,Shoes & Jewelry",243.23459922311028,0,1,49.59
22,1,1,4,0.09,Toys & Games,322.81341525770824,0,1,50.12
19,1,3,7,0.12,Beauty & Personal Care,170.6699576822334,0,0,32.28
21,0,4,1,0.38,Electronics,21.494065067950924,2,1,14.16
27,1,3,6,0.69,Beauty & Personal Care,251.40279704214458,0,0,50.2
18,2,3,3,0.23,"Health, Household & Baby Care",27.30863825452632,1,2,9.44
23,1,1,7,0.22,"Health, Household & Baby Care",628.4473964889282,1,1,97.57
25,4,3,4,0.43,Beauty & Personal Care,119.74830574022955,1,2,28.85
19,2,5,4,0.85,"Clothing,Shoes & Jewelry",100.93366507077481,0,1,25.91
30,0,1,4,0.64,Toys & Games,96.14763862254411,0,2,22.4
25,0,0,2,0.52,Beauty & Personal Care,110.21947772023042,0,2,0.0
29,0,4,5,0.53,"Health, Household & Baby Care",17.05031147844316,0,2,19.24
26,0,2,3,0.7,"Clothing,Shoes & Jewelry",26.130314186494427,0,0,11.42
20,1,1,5,0.72,Beauty & Personal Care,125.34054753859436,1,0,20.47
25,0,5,5,0.86,Beauty & Personal Care,6.939881179153946,1,0,18.72
29,0,0,4,0.63,"Clothing,Shoes & Jewelry",234.47467274840906,1,1,0.0
28,0,4,4,0.39,Toys & Games,99.60446873582025,1,0,30.65
25,0,6,7,0.77,"Clothing,Shoes & Jewelry",157.35390811047336,2,0,43.29
26,2,6,9,0.45,Home & Kitchen,324.9875697484314,0,0,68.41
32,1,2,2,0.72,Toys & Games,87.53022670194714,2,0,25.85
19,2,1,8,0.36,"Clothing,Shoes & Jewelry",35.52703534623288,1,0,4.6
30,2,1,4,0.61,Home & Kitchen,20.77333620475365,1,0,11.1
24,1,3,4,0.58,Toys & Games,148.77688232464638,0,0,31.21
33,0,1,3,0.52,Beauty & Personal Care,118.32472018763374,1,1,29.65
22,1,1,3,0.02,"Clothing,Shoes & Jewelry",18.070644523799796,1,1,4.71
27,0,1,9,0.4,"Clothing,Shoes & Jewelry",254.25154736952325,2,1,44.61
30,0,2,0,0.21,Toys & Games,189.62094384240993,2,3,40.54
26,2,2,5,0.89,"Clothing,Shoes & Jewelry",161.94942060072808,2,3,32.51
28,1,2,4,0.43,"Clothing,Shoes & Jewelry",172.52231923945283,2,1,35.72
32,2,0,4,0.07,Electronics,72.2669394168909,0,2,0.0
36,3,4,1,0.12,Sports & outdoors,312.3142405949209,1,2,68.33
20,0,2,4,0.8,Beauty & Personal Care,1.6672984963666904,0,0,4.73
20,0,1,4,0.13,Toys & Games,166.23861706006284,2,1,26.32
17,1,3,4,0.57,Beauty & Personal Care,34.3418300235,0,2,10.45
21,0,0,1,0.67,Home & Kitchen,19.123425966446998,0,0,0.0
22,0,2,1,0.3,Electronics,43.44993632507336,0,2,11.48
27,0,4,7,0.02,"Health, Household & Baby Care",248.89359856998647,0,0,52.4
35,0,1,7,0.06,Toys & Games,48.3895659603985,0,2,19.21
23,0,2,4,0.03,Electronics,223.85339057820292,1,3,40.02
28,0,2,5,0.52,Toys & Games,165.66098999416783,2,1,35.13
15,0,4,1,0.16,"Clothing,Shoes & Jewelry",44.23922360461995,0,3,12.46
27,0,2,2,0.17,"Clothing,Shoes & Jewelry",7.678707967956276,1,0,9.99
25,1,3,9,0.15,Beauty & Personal Care,100.50872914556834,2,0,27.18
16,1,4,4,0.16,Toys & Games,399.3114786945399,1,1,66.52
21,2,0,3,0.02,Beauty & Personal Care,182.1084566206067,1,1,0.0
16,3,0,2,0.25,Toys & Games,155.98409019582255,1,1,0.0
19,1,2,5,0.24,Electronics,5.516078415241451,0,0,3.02
22,1,1,5,0.17,Sports & outdoors,61.045412507376035,0,1,11.19
28,2,2,1,0.29,"Clothing,Shoes & Jewelry",123.17114715792877,1,2,27.72
20,0,4,4,0.66,Electronics,197.76029294054413,0,2,39.06
29,0,0,4,0.9,Electronics,302.0194971108002,2,0,0.0
26,1,2,4,0.89,Toys & Games,164.97726136978136,4,1,34.0
22,0,7,7,0.33,Beauty & Personal Care,31.24503025636845,1,1,26.45
22,2,2,3,0.89,"Clothing,Shoes & Jewelry",45.58233529872184,0,1,10.83
22,1,2,1,0.17,Electronics,11.768969155972254,1,1,6.77
25,2,1,9,0.37,Toys & Games,175.77453548077736,0,4,30.45
22,1,4,4,0.7,Beauty & Personal Care,223.01370422056493,1,1,45.76
32,0,1,1,0.61,Home & Kitchen,319.4135048253405,0,0,57.51
32,1,0,5,0.55,Electronics,83.64528922928213,0,0,0.0
24,0,4,11,0.17,Toys & Games,168.46704615752506,0,1,37.85
29,0,3,6,0.13,"Health, Household & Baby Care",6.775680133493387,0,1,14.68
28,1,2,3,0.23,"Health, Household & Baby Care",34.281530676802184,0,0,14.53
26,1,1,7,0.67,"Clothing,Shoes & Jewelry",47.71798705452508,2,0,12.32
23,0,1,7,0.17,Sports & outdoors,86.56341137685186,0,0,15.94
27,1,1,6,0.7,Toys & Games,52.801585989699966,1,1,13.66
22,0,1,5,0.54,Beauty & Personal Care,392.3784974354191,1,2,62.68
35,4,1,3,0.7,Home & Kitchen,198.63279491850224,2,0,41.34
20,0,0,3,0.37,Home & Kitchen,42.69383208493738,1,2,0.0
19,3,1,3,0.05,"Health, Household & Baby Care",293.817144780174,0,0,43.17
20,3,4,7,0.4,"Clothing,Shoes & Jewelry",41.77080662349941,1,1,15.11
23,2,2,6,0.22,Beauty & Personal Care,118.00329184309395,0,0,24.04
16,1,5,2,0.46,"Health, Household & Baby Care",760.9263692680291,0,2,123.75
25,1,4,1,0.16,"Clothing,Shoes & Jewelry",198.11201174436997,1,2,43.05
30,1,3,2,0.45,Toys & Games,232.85696342401343,0,0,48.33
28,0,2,5,0.32,"Health, Household & Baby Care",57.87318693120895,1,1,18.98
27,0,1,2,0.23,Toys & Games,97.74263030201386,0,0,20.18
27,2,1,2,0.8,Beauty & Personal Care,24.936825938485725,2,1,10.89
37,0,1,4,0.81,"Clothing,Shoes & Jewelry",138.6205552538311,1,0,33.97
25,2,2,2,0.87,"Clothing,Shoes & Jewelry",48.641432364608775,1,2,14.13
29,1,4,4,0.29,Beauty & Personal Care,146.86973566188945,0,0,39.11
17,0,6,5,0.74,"Health, Household & Baby Care",434.9438340062707,2,2,79.76
30,0,0,3,0.33,Home & Kitchen,419.2014991199111,1,0,0.0
27,2,4,6,0.84,"Health, Household & Baby Care",109.17981107925263,2,1,31.63
28,1,2,6,0.25,"Clothing,Shoes & Jewelry",272.9887024717764,1,3,50.72
16,0,4,2,0.31,Toys & Games,47.96379803723368,0,0,13.44
31,1,0,6,0.68,Sports & outdoors,109.93192593617437,1,1,0.0
26,1,3,6,0.54,Beauty & Personal Care,76.03028684350718,2,2,24.39
31,3,2,2,0.74,"Clothing,Shoes & Jewelry",135.42372158204486,0,0,30.63
14,0,3,5,0.16,Electronics,184.60993407057254,2,0,30.35
26,0,0,3,0.54,"Health, Household & Baby Care",228.6553964751376,0,2,0.0
25,0,3,7,0.88,Toys & Games,53.160625064700746,1,3,18.78
25,2,1,5,0.22,Beauty & Personal Care,64.41397962625253,2,0,15.38
26,1,2,4,0.27,Home & Kitchen,85.90347273135555,1,0,21.28
29,1,0,5,0.24,Beauty & Personal Care,291.1715966681126,0,2,0.0
24,1,4,4,0.51,"Clothing,Shoes & Jewelry",23.77417092513173,0,0,15.33
29,3,2,5,0.65,Toys & Games,30.207103745121554,1,1,14.17
19,0,3,3,0.84,Home & Kitchen,20.79323699954575,1,0,9.37
33,1,1,4,0.47,"Clothing,Shoes & Jewelry",70.93344783638608,0,0,20.17
26,2,2,7,0.27,Electronics,216.31122812540926,2,0,40.51
25,2,4,7,0.26,"Clothing,Shoes & Jewelry",26.35267285178954,0,0,16.29
18,0,5,4,0.44,"Clothing,Shoes & Jewelry",67.64341893603954,1,1,21.34
19,2,2,14,0.1,Home & Kitchen,76.211075718532,0,1,14.17
23,2,0,1,0.2,Electronics,49.21614215598683,1,1,0.0
25,1,2,4,0.34,Toys & Games,142.50470801035883,1,2,28.85
27,0,3,3,0.82,Electronics,99.30211701504462,1,1,26.78
27,1,4,5,0.22,Electronics,113.60426755531267,1,1,31.84
20,1,2,5,0.33,Sports & outdoors,6.077048199625468,1,2,4.99
28,0,5,4,0.69,Beauty & Personal Care,56.5535097956567,0,0,28.0
30,3,2,3,0.62,Beauty & Personal Care,18.890271390979034,1,0,14.4
27,0,3,3,0.03,Electronics,35.71973831989499,1,3,17.78
26,3,3,5,0.12,Pet Supplies,79.595441918371,2,2,23.55
26,1,1,4,0.06,Home & Kitchen,14.362188676867497,2,0,8.06
34,1,2,6,0.09,Electronics,132.86476901786318,5,0,35.68
29,0,6,3,0.14,Beauty & Personal Care,6.531703562119928,0,0,24.39
27,3,1,5,0.4,Home & Kitchen,49.176141355486976,0,2,12.74
35,1,0,7,0.82,"Clothing,Shoes & Jewelry",26.48368989162833,1,1,0.0
26,0,4,3,0.87,"Health, Household & Baby Care",97.85524004974535,0,0,28.68
28,2,1,5,0.02,Toys & Games,190.69711076420472,0,1,34.53
19,1,2,5,0.42,Beauty & Personal Care,4.081481153609695,0,1,4.32
23,0,4,4,0.38,"Clothing,Shoes & Jewelry",106.03316598862061,0,1,27.41
23,2,2,6,0.39,Electronics,214.78775793775858,3,1,38.58
29,2,0,4,0.15,Beauty & Personal Care,39.496905785029455,2,0,0.0
24,1,1,4,0.46,Home & Kitchen,134.4770066462854,0,2,23.85
24,1,2,2,0.88,Beauty & Personal Care,11.203987510814244,2,1,9.86
28,1,3,5,0.81,Toys & Games,40.803681630237826,0,0,17.96
27,3,1,4,0.12,Beauty & Personal Care,47.5318288077271,3,1,14.67
18,0,1,4,0.7,Beauty & Personal Care,203.6531234212571,1,0,31.01
17,1,4,1,0.28,"Clothing,Shoes & Jewelry",134.64817712129553,1,0,27.19
19,3,4,5,0.2,"Clothing,Shoes & Jewelry",140.15529825326402,2,3,29.9
24,0,1,5,0.21,Toys & Games,80.58203419837292,1,1,16.01
27,0,1,7,0.61,Home & Kitchen,193.94216806404617,1,1,35.62
22,2,5,3,0.03,Electronics,55.946962980072435,0,3,22.01
23,2,1,3,0.1,"Health, Household & Baby Care",662.1294346631092,2,0,102.6
26,2,5,7,0.83,Beauty & Personal Care,128.9513961042208,1,0,37.21
27,2,0,6,0.2,Home & Kitchen,271.5325412275163,1,1,0.0
34,0,1,7,0.67,Toys & Games,600.0569619977067,1,0,101.17
27,1,2,3,0.64,Beauty & Personal Care,169.51758911595613,1,1,35.49
25,0,0,10,0.63,Toys & Games,19.57976548378709,1,0,0.0
24,0,5,3,0.46,Beauty & Personal Care,22.619177535311287,0,2,20.26
24,3,0,5,0.79,Toys & Games,108.39039486610965,0,1,0.0
26,1,2,3,0.21,Toys & Games,173.55664587811222,0,2,33.83
23,1,1,0,0.08,"Health, Household & Baby Care",58.53714468230036,2,1,12.47
27,0,2,3,0.32,"Clothing,Shoes & Jewelry",113.93547776031211,0,1,25.6
25,1,3,5,0.27,Beauty & Personal Care,226.39876112268433,2,4,46.57
26,1,1,6,0.42,Beauty & Personal Care,127.8795013611919,0,0,25.01
25,1,2,6,0.75,Beauty & Personal Care,11.2630979482389,2,1,10.72
23,0,4,6,0.51,Beauty & Personal Care,152.43186813059515,0,1,35.86
25,1,2,4,0.19,Toys & Games,40.9181232759131,2,2,14.1
30,3,1,4,0.6,Home & Kitchen,24.682401357949235,0,0,10.94
27,1,1,4,0.11,"Clothing,Shoes & Jewelry",169.44980862747977,1,2,31.31
25,0,1,4,0.43,"Clothing,Shoes & Jewelry",81.41159923906376,2,1,17.1
22,2,3,4,0.2,Home & Kitchen,85.77323659934177,3,0,21.88
25,0,2,2,0.01,Home & Kitchen,342.6425702974776,0,2,59.23
28,1,3,5,0.33,Toys & Games,15.615265368421625,0,0,14.33
36,1,1,4,0.88,Toys & Games,209.0054132159153,3,3,44.96
22,2,1,4,0.37,Home & Kitchen,182.53327443998347,0,4,29.59
29,2,5,4,0.02,Electronics,2.0946326629407204,1,0,19.2
25,0,2,4,0.81,"Clothing,Shoes & Jewelry",43.84992578826823,1,1,13.91
25,0,0,5,0.27,Toys & Games,125.08967377649817,2,0,0.0
25,1,2,5,0.37,Beauty & Personal Care,253.90132500821392,4,1,48.11
30,2,3,3,0.84,"Clothing,Shoes & Jewelry",36.55003109454648,2,2,19.54
21,2,1,5,0.01,Electronics,66.04210875106575,0,1,10.51
35,2,1,3,0.4,Beauty & Personal Care,32.10349363452781,1,0,17.5
26,0,0,3,0.78,"Health, Household & Baby Care",15.114490274315537,2,2,0.0
37,0,1,4,0.01,"Health, Household & Baby Care",161.43143744395456,4,0,39.54
24,0,2,8,0.33,"Health, Household & Baby Care",164.24332010883776,1,1,31.97
29,1,1,4,0.16,Beauty & Personal Care,98.16977992712384,1,1,23.45
17,1,3,3,0.83,Toys & Games,43.74267831115206,1,1,10.72
30,1,4,6,0.87,Sports & outdoors,71.07375535426341,1,3,28.25
30,1,0,4,0.25,Electronics,362.2860041253922,0,0,0.0
17,1,0,3,0.63,"Health, Household & Baby Care",773.8842661036708,2,0,0.0
20,2,3,5,0.53,Toys & Games,20.451836497472048,1,1,9.3
28,1,1,2,0.44,Toys & Games,169.33905658212223,1,1,31.91
25,2,4,5,0.05,Home & Kitchen,99.4165605203798,0,0,27.88
23,2,2,4,0.66,"Clothing,Shoes & Jewelry",146.63692930020946,1,1,27.27
25,1,1,4,0.32,Electronics,272.40680308118755,1,0,44.96
26,1,1,3,0.34,Home & Kitchen,98.1336284897806,0,0,19.62
26,0,2,6,0.19,Toys & Games,52.85049730612557,0,0,15.77
30,1,3,7,0.35,"Clothing,Shoes & Jewelry",24.711668700597127,1,2,17.82
26,0,1,5,0.47,Beauty & Personal Care,146.69823913483114,2,0,29.0
24,0,2,6,0.79,Toys & Games,58.76758328873746,4,1,16.93
21,2,0,3,0.21,Beauty & Personal Care,1.4615797047163401,0,0,-0.0
30,1,1,4,0.07,"Clothing,Shoes & Jewelry",261.5795382557116,0,3,47.09
29,0,2,9,0.7,"Clothing,Shoes & Jewelry",75.07861029984156,0,0,21.1
32,2,1,3,0.41,Home & Kitchen,76.08300527683959,0,1,20.65
22,0,1,9,0.72,"Clothing,Shoes & Jewelry",155.386856389105,4,2,26.99
17,1,6,7,0.21,Toys & Games,128.10190172549,2,1,33.07
32,4,3,7,0.04,Home & Kitchen,118.04722153963144,1,1,32.96
24,2,2,1,0.55,"Health, Household & Baby Care",149.7432781042459,1,2,29.18
23,0,2,4,0.65,Home & Kitchen,5.319705937495734,1,0,7.12
29,0,2,6,0.87,"Health, Household & Baby Care",13.191710676349834,0,2,12.57
35,4,5,7,0.1,Sports & outdoors,19.6170679957796,0,1,25.87
21,1,2,4,0.16,Home & Kitchen,187.47124253136357,0,2,32.64
24,0,1,4,0.3,Home & Kitchen,18.62637977258919,1,0,6.98
30,0,1,6,0.58,"Health, Household & Baby Care",53.469767940329675,2,2,17.35
24,2,3,4,0.48,Beauty & Personal Care,1.545776466499739,1,2,10.96
33,1,3,1,0.45,Toys & Games,42.34589656084496,0,2,22.29
21,0,4,3,0.2,Beauty & Personal Care,94.39867366922196,1,1,26.16
17,1,5,6,0.33,Beauty & Personal Care,203.5002292377645,0,0,41.63
28,2,2,9,0.28,"Clothing,Shoes & Jewelry",129.01250848765847,1,0,28.41
22,1,2,2,0.66,"Clothing,Shoes & Jewelry",240.6515837863156,1,1,40.89
24,1,0,2,0.76,Beauty & Personal Care,128.3971911912222,0,1,0.0
31,1,2,5,0.65,"Clothing,Shoes & Jewelry",183.72254315444917,1,1,39.15
30,0,1,3,0.31,"Health, Household & Baby Care",134.80572096913656,1,1,28.99
19,3,4,3,0.76,Toys & Games,177.8178347780052,1,0,34.6
24,1,0,4,0.74,"Clothing,Shoes & Jewelry",263.1050126926974,1,1,0.0
22,1,2,7,0.57,Toys & Games,14.64198608815603,2,1,7.69
30,1,3,4,0.56,Electronics,101.95448247728913,1,1,29.22
27,1,1,4,0.67,"Clothing,Shoes & Jewelry",941.082783705285,0,1,146.28
32,0,2,3,0.04,Home & Kitchen,197.00646140378683,1,0,42.8
